Digest,Method,Bytes,Microseconds,Bytes/Microsecond,MiB/Second,Microseconds/Byte
sha3,chan,1024,86.184,11.88,11.33,0.0842
sha3,chan,2048,150.177,13.64,13.01,0.0733
sha3,chan,4096,281.920,14.53,13.86,0.0688
sha3,chan,8192,557.006,14.71,14.03,0.0680
sha3,chan,16384,1100.605,14.89,14.20,0.0672
sha3,chan,32768,2182.376,15.01,14.31,0.0666
sha3,chan,65536,4382.761,14.95,14.26,0.0669
sha3,chan,131072,8692.815,15.08,14.38,0.0663
sha3,chan,262144,17323.348,15.13,14.43,0.0661
sha3,chan,524288,34744.334,15.09,14.39,0.0663
sha3,chan,1048576,70069.152,14.96,14.27,0.0668
sha3,chan,2097152,139850.359,15.00,14.31,0.0667
sha3,chan,4194304,278432.909,15.06,14.36,0.0664
sha3,chan,8388608,560406.181,14.97,14.28,0.0668
sha3,chan,16777216,1125739.926,14.90,14.21,0.0671
sha3,chan,33554432,2263972.431,14.82,14.13,0.0675
sha3,chan,67108864,4494763.097,14.93,14.24,0.0670
